"Destination","Africa","Asia","Europe","Latin America","Northern America","Oceania","Other"
"Africa",20917565,1207631,648455,32524,53563,14483,2515243
"Asia",4720103,68497762,7169630,414658,538199,101725,4176425
"Europe",11024274,23203976,44246425,5395924,1100304,397036,1338129
"Latin America",48791,402369,1355886,11297173,1293053,5630,391721
"Northern America",3268757,17549235,6869872,25535633,1088520,343625,4053153
"Oceania",587673,4050511,2983395,214569,254319,1107706,182480
