destination,Africa,Asia,Europe,Latin America,Northern America,Oceania
Africa,20917565,5927734,11672729,3301281,455932,6884355
Asia,5927734,68497762,7218421,1002331,18087434,3085120
Europe,11672729,28599900,44246425,28599900,5150815,25932669
Latin America,7218421,455932,2648939,11297173,2648939,220199
Northern America,3301281,18087434,6884355,25932669,1088520,597944
Oceania,1002331,5150815,3085120,220199,597944,1107706
